"","district","weekstartdate","anycases","totalcases","est"
"19975","turner",2012-09-16,0,0,0.105219426041102
"19976","edmunds",2012-04-01,0,0,0.00023562559295881
"19977","hand",2012-08-05,0,0,0.245503445391443
"19978","hand",2012-08-12,0,0,0.263171079480419
"19979","clay",2012-04-15,0,0,0.00182601705491541
"19980","clay",2012-04-22,0,0,0.00315305124658716
"19981","beadle",2012-03-18,0,0,4.83485753701338e-05
"19982","edmunds",2012-03-18,0,0,2.72480164541209e-05
"19983","edmunds",2012-02-26,0,0,4.9621168406349e-06
"19984","beadle",2012-03-11,0,0,1.62225828309876e-05
"19985","beadle",2012-01-01,0,0,9.39921400612444e-06
"19986","hand",2012-07-01,0,0,0.0294595641876812
"19987","hand",2012-07-08,0,0,0.050572169867751
"19988","edmunds",2012-03-25,0,0,7.7195988577907e-05
"19989","hand",2012-07-22,0,0,0.118574202919178
"19990","clay",2012-04-29,0,0,0.00530676352042758
"19991","clay",2012-05-06,0,0,0.0123644551915041
"19992","hand",2012-07-15,0,0,0.0755566869550239
"19993","clay",2012-05-20,0,0,0.0208013911287103
"19994","clay",2012-05-27,0,0,0.0296866188619543
"19995","beadle",2012-03-25,0,0,0.000141731683341251
"19996","hand",2012-08-19,0,0,0.234875700761743
"19997","hand",2012-09-16,1,1,0.0623960748994977
"19998","turner",2012-12-09,0,0,3.17327062748305e-05
"19999","turner",2012-12-16,0,0,1.58314418656668e-05
"20000","beadle",2012-04-15,0,0,0.00187568035828007
"20001","beadle",2012-04-22,0,0,0.00321334253818225
"20002","beadle",2012-04-29,0,0,0.00572664903320008
"20003","hand",2012-07-29,0,0,0.181316455845546
"20004","beadle",2012-02-05,0,0,9.13013014047259e-06
"20005","clay",2012-05-13,0,0,0.0157362831133141
"20006","beadle",2012-02-19,0,0,8.10295169646198e-06
"20007","hand",2012-08-26,0,0,0.196942846524222
"20008","clay",2012-06-03,0,0,0.0309272740030795
"20009","beadle",2012-04-01,0,0,0.000433704342888783
"20010","clay",2012-06-10,0,0,0.0401331781928877
"20011","clay",2012-06-17,0,0,0.0479981120702743
"20012","clay",2012-06-24,0,0,0.0641243615452787
"20013","clay",2012-07-01,0,0,0.0878409984064934
"20014","clay",2012-07-08,0,0,0.133840027677275
"20015","clay",2012-07-15,0,0,0.179699896831891
"20016","beadle",2012-05-06,0,0,0.0124053221098853
"20017","beadle",2012-05-13,0,0,0.0161142718972627
"20018","beadle",2012-02-12,0,0,6.22561936511608e-06
"20019","beadle",2012-05-27,0,0,0.0317893337358177
"20020","yankton",2012-03-18,0,0,3.26544353491956e-05
"20021","hand",2012-09-02,0,0,0.153166202731853
"20022","beadle",2012-07-01,0,0,0.11712801091411
"20023","brown",2012-10-21,0,0,0.0264726852751941
"20024","brown",2012-01-01,0,0,4.10154798078567e-05
"20025","brown",2012-01-08,0,0,4.18166372074361e-05
"20026","brown",2012-01-15,0,0,3.96789653644666e-05
"20027","brown",2012-01-22,0,0,2.28712318712107e-05
"20028","brown",2012-01-29,0,0,2.33472606714156e-05
"20029","brown",2012-02-05,0,0,3.41851120652739e-05
"20030","brown",2012-02-12,0,0,1.87116208901864e-05
"20031","beadle",2012-05-20,0,0,0.0223948019961183
"20032","jerauld",2012-07-08,0,0,0.0211733717440594
"20033","jerauld",2012-07-15,0,0,0.0317397625245347
"20034","beadle",2012-06-10,0,0,0.0469211014502512
"20035","bonhomme",2012-07-01,0,0,0.0374127301407191
"20036","clay",2012-12-30,0,0,3.31829415900611e-06
"20037","yankton",2012-01-08,0,0,3.78498159107904e-06
"20038","yankton",2012-01-15,0,0,3.68148071542866e-06
"20039","beadle",2012-04-08,0,0,0.00104837069584558
"20040","jerauld",2012-09-02,0,0,0.0696622062315145
"20041","jerauld",2012-09-09,0,0,0.0448044553641913
"20042","mcpherson",2012-05-27,0,0,0.00710172331012297
"20043","mcpherson",2012-06-03,0,0,0.00781372033957484
"20044","jerauld",2012-07-01,0,0,0.012629076819315
"20045","mcpherson",2012-06-17,0,0,0.0141779685789422
"20046","mcpherson",2012-06-24,0,0,0.0205217523478588
